frame_index,num_person_detections,num_unique_track_ids,track_ids
171,6,6,"2,3,21,60,67,69"
172,6,6,"2,3,21,60,67,69"
173,6,6,"2,3,21,60,67,69"
174,5,5,"2,3,21,67,69"
175,5,5,"2,3,21,67,69"
176,6,6,"2,3,21,63,67,69"
177,6,6,"2,3,21,63,67,69"
178,6,6,"2,3,21,63,67,69"
179,6,6,"2,3,21,63,67,69"
180,5,5,"2,3,63,67,69"
181,5,5,"2,3,63,67,69"
182,4,4,"2,63,67,69"
183,3,3,"2,63,69"
184,3,3,"2,63,69"
185,2,2,"2,69"
186,2,2,"2,69"
187,2,2,"2,69"
188,2,2,"2,69"
189,2,2,"2,69"
190,2,2,"2,69"
191,2,2,"2,69"
192,2,2,"2,69"
193,2,2,"2,69"
194,2,2,"2,69"
195,2,2,"2,69"
196,2,2,"2,69"
197,2,2,"2,69"
198,2,2,"2,69"
199,2,2,"2,69"
200,3,3,"2,69,88"
201,3,3,"2,69,88"
202,3,3,"2,69,88"
203,3,3,"2,69,88"
204,3,3,"2,69,88"
205,2,2,"2,88"
206,2,2,"2,88"
207,2,2,"2,88"
208,2,2,"2,88"
209,2,2,"2,88"
210,2,2,"2,88"
211,2,2,"2,88"
212,2,2,"2,88"
213,2,2,"2,88"
214,1,1,88
215,1,1,88
216,4,0,
217,1,0,
218,1,0,
219,3,0,
220,3,0,
221,1,0,
222,1,0,
223,3,0,
224,3,0,
225,1,0,
226,0,0,
227,0,0,
228,0,0,
229,1,0,
230,1,0,
231,1,0,
232,2,0,
233,1,0,
234,1,0,
235,1,0,
236,1,0,
237,1,0,
238,1,0,
239,1,0,
240,1,0,
241,1,0,
242,1,0,
243,1,0,
244,1,0,
245,1,0,
246,1,0,
247,1,0,
248,2,0,
249,0,0,
250,2,0,
251,1,0,
252,2,0,
253,1,0,
254,0,0,
255,0,0,
256,0,0,
257,0,0,
258,0,0,
259,0,0,
260,0,0,
261,0,0,
262,0,0,
263,0,0,
264,0,0,
265,0,0,
266,0,0,
267,0,0,
268,0,0,
269,0,0,
270,0,0,
271,0,0,
272,0,0,
273,0,0,
274,0,0,
275,0,0,
276,0,0,
277,0,0,
278,0,0,
279,0,0,
280,0,0,
281,0,0,
282,0,0,
283,0,0,
284,0,0,
285,0,0,
286,0,0,
287,0,0,
288,0,0,
289,0,0,
290,0,0,
291,0,0,
292,0,0,
293,0,0,
294,0,0,
295,0,0,
296,0,0,
297,0,0,
298,0,0,
299,0,0,
300,0,0,
301,0,0,
302,0,0,
303,0,0,
304,0,0,
305,0,0,
306,0,0,
307,0,0,
308,0,0,
309,0,0,
310,0,0,
311,0,0,
312,0,0,
313,0,0,
314,0,0,
315,0,0,
316,0,0,
317,0,0,
318,0,0,
319,0,0,
320,0,0,
321,0,0,
322,0,0,
323,0,0,
324,0,0,
325,0,0,
326,0,0,
327,0,0,
328,0,0,
329,0,0,
330,0,0,
331,0,0,
332,1,0,
333,0,0,
334,1,0,
335,0,0,
336,0,0,
337,0,0,
338,0,0,
339,0,0,
340,0,0,
341,0,0,
342,0,0,
343,1,0,
344,0,0,
345,0,0,
346,0,0,
347,0,0,
348,0,0,
349,1,0,
350,0,0,
351,0,0,
352,0,0,
353,0,0,
354,0,0,
355,0,0,
356,1,0,
357,0,0,
